"id","kode_prov","kode_kab","kode","nama_pemda","nama_prov","apbd_pra","apbd_pasca","trd_pra","trd_pasca","pad_pra","pad_pasca","blpeg_pra","blpeg_pasca","blbj_pra","blbj_pasca","blmod_pra","blmod_pasca","btt_pra","btt_pasca","bl_kes","bl_jps","pl_pde","totbl_covid","pilkada","update_per","created_at","updated_at","deleted_at"
"23","11","72","1172","KOTA SABANG","Kota Sabang","790603739343.00","622373405831.00","487034430000.00","400888955000.00","61735621334.00","46101913899.00","336608045422.00","325344127856.00","195018897747.00","161581259543.00","182743059680.00","135448018432.00","75733736494.00","86254626347.00","20217240935.00","1100000000.00","7915943000.00","29233183935.00","0","19/5/2020","2020-06-15 16:30:33.371841","2020-06-15 16:30:33.371841",""
"20","11","74","1174","KOTA LANGSA","Kota Langsa","965962280355.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","19/5/2020","2020-06-15 16:30:33.371841","2020-06-15 16:30:33.371841",""
"22","11","73","1173","KOTA LHOKSEUMAWE","Kota Lhokseumawe","933928473461.00","732079896570.00","678264177000.00","623549304309.00","67223805350.00","67381305350.00","368123181831.00","356336520826.00","207544365907.00","193601944636.00","208667094005.00","182141431108.00","137604319219.00","131445316635.00","3100000000.00","8328574123.00","2000000000.00","13428574123.00","0","19/5/2020","2020-06-15 16:30:33.371841","2020-06-15 16:30:33.371841",""
"15","11","13","1113","GAYO LUES","Kab. Gayo Lues","1025499715569.00","739725131096.00","744890000000.00","656529797000.00","54102613000.00","49621638000.00","279836043548.00","276727432829.00","289030260208.00","252852056824.00","238302873240.00","210145641443.00","193445976100.00","190132646000.00","0.00","0.00","0.00","0.00","0","19/5/2020","2020-06-15 16:30:33.371841","2020-06-15 16:30:33.371841",""
"2","11","12","1112","ACEH BARAT DAYA","Kab. Aceh Barat Daya","1139005694402.00","796261299739.00","619798207000.00","510394336000.00","94698663624.00","94698663624.00","402594327453.00","390701742583.00","251550536846.00","193697031865.00","248176591314.00","211862525291.00","224584238789.00","222898139289.00","45737313000.00","8547000000.00","1650000000.00","55934313000.00","0","19/5/2020","2020-06-15 16:30:33.371841","2020-06-15 16:30:33.371841",""
"5","11","14","1114","ACEH JAYA","Kab. Aceh Jaya","1002403246481.00","672817048578.00","748232354000.00","660275896000.00","83120597894.00","80368235691.00","411916810247.00","385514792449.00","181026457444.00","163880005144.00","153044462985.00","123422250985.00","205183621937.00","193666200888.00","8669168686.00","15430456813.00","251724000.00","24351349499.00","0","19/5/2020","2020-06-15 16:30:33.371841","2020-06-15 16:30:33.371841",""
"16","11","15","1115","NAGAN RAYA","Kab. Nagan Raya","1294481943599.00","869731968838.00","933685806000.00","818612302521.00","89412809632.00","89362809632.00","407572911573.00","398961126073.00","265599883535.00","214864548103.00","347589947945.00","255906294662.00","267374700546.00","290354853906.00","32461366505.00","5666800000.00","9266000000.00","47394166505.00","0","19/5/2020","2020-06-15 16:30:33.371841","2020-06-15 16:30:33.371841",""
"8","11","16","1116","ACEH TAMIANG","Kab. Aceh Tamiang","1371109893020.00","950037666325.00","1141548472627.00","992446433864.00","139730050431.00","124707454881.00","500185290116.00","507272726819.00","340477509871.00","250190669876.00","276935271841.00","192574269630.00","252411821192.00","259652706992.00","13908994788.00","9000000000.00","1000000000.00","23908994788.00","0","19/5/2020","2020-06-15 16:30:33.371841","2020-06-15 16:30:33.371841",""
"13","11","17","1117","BENER MERIAH","Kab. Bener Meriah","1044610312289.00","716914853357.00","816491817000.00","748939200000.00","102960557025.00","98774550041.00","385533625094.00","366073095071.00","210413096717.00","178008249401.00","183213833063.00","172833508886.00","253809757415.00","250538598147.00","4140399137.00","4111975000.00","900000000.00","9152374137.00","0","19/5/2020","2020-06-15 16:30:33.371841","2020-06-15 16:30:33.371841",""
"18","11","18","1118","PIDIE JAYA","Kab. Pidie","2252285665112.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","19/5/2020","2020-06-15 16:30:33.371841","2020-06-15 16:30:33.371841",""
