"Daerah","Alokasi Dasar","Alokasi Afirmasi","Alokasi Formula","Total Alokasi","Jumlah Desa","Jumlah Penduduk","Jumlah Penduduk Miskin","Luas Wilayah","IKK"
"Kab. Aceh Barat","216519687000.00","2324178000.00","30638661000.00","249482526000.00","322.00","193748.00","44670.00","2939.39","99.66"
"Kab. Aceh Besar","406142518000.00","211289000.00","32165286000.00","438519093000.00","604.00","389271.00","42731.00","2965.27","103.36"
"Kab. Aceh Selatan","174829561000.00","2535466000.00","26288875000.00","203653902000.00","260.00","233756.00","28023.00","3884.28","96.95"
"Kab. Aceh Singkil","78000881000.00","5704799000.00","23196182000.00","106901862000.00","116.00","125868.00","28226.00","2115.16","101.81"
"Kab. Aceh Tengah","198364309000.00","0.00","23072354000.00","221436663000.00","295.00","212146.00","17177.00","4318.39","98.93"
"Kab. Aceh Tenggara","258882234000.00","1056444000.00","23863020000.00","283801698000.00","385.00","224280.00","20186.00","4223.37","96.16"
"Kab. Aceh Timur","344952171000.00","1479022000.00","40692192000.00","387123385000.00","513.00","428053.00","52303.00","6277.07","103.00"
"Kab. Aceh Utara","572903021000.00","7183821000.00","47894836000.00","627981678000.00","852.00","582007.00","80866.00","3241.75","104.23"
"Kab. Bireuen","409504625000.00","3380622000.00","41112415000.00","453997662000.00","609.00","437553.00","71144.00","1901.20","103.74"
"Kab. Pidie","490867612000.00","2112889000.00","32970515000.00","525951016000.00","730.00","439346.00","43938.00","2972.65","102.19"
"Kab. Simeulue","92794151000.00","1267733000.00","23160145000.00","117222029000.00","138.00","91982.00","27010.00","2051.48","110.93"
"Kota Banda Aceh","60517925000.00","0.00","13674408000.00","74192333000.00","90.00","243522.00","6418.00","61.36","102.26"
"Kota Sabang","12103585000.00","0.00","11532113000.00","23635698000.00","18.00","41436.00","2116.00","153.00","115.25"
"Kota Langsa","44379812000.00","211289000.00","13181586000.00","57772687000.00","66.00","185551.00","6931.00","262.41","97.51"
"Kota Lhokseumawe","45724654000.00","0.00","13048676000.00","58773330000.00","68.00","192748.00","5878.00","181.06","100.78"
"Kab. Gayo Lues","91449309000.00","422578000.00","20139180000.00","112011067000.00","136.00","99118.00","9377.00","5267.00","93.26"
"Kab. Aceh Barat Daya","102208051000.00","211289000.00","15527889000.00","117947229000.00","152.00","151249.00","10922.00","1371.28","93.54"
"Kab. Aceh Jaya","115656479000.00","0.00","18414783000.00","134071262000.00","172.00","89599.00","8899.00","3812.99","100.64"
"Kab. Nagan Raya","149277548000.00","2535466000.00","22821416000.00","174634430000.00","222.00","169348.00","22719.00","3363.72","94.30"
"Kab. Aceh Tamiang","143225755000.00","2112889000.00","24955303000.00","170293947000.00","213.00","293072.00","31108.00","1958.69","94.95"
"Kab. Bener Meriah","156001762000.00","2324178000.00","22642149000.00","180968089000.00","232.00","158772.00","29250.00","1456.53","98.79"
"Kab. Pidie Jaya","149277548000.00","0.00","16519527000.00","165797075000.00","222.00","159460.00","13009.00","1074.53","100.47"
"Kota Subulussalam","55138554000.00","422578000.00","13770689000.00","69331821000.00","82.00","85054.00","6231.00","1391.00","99.11"
"Kab. Asahan","119018585000.00","1267733000.00","25804097000.00","146090415000.00","177.00","610602.00","18051.00","3611.92","95.45"
"Kab. Dairi","108259843000.00","422578000.00","18490143000.00","127172564000.00","161.00","271596.00","10841.00","1825.90","107.06"
"Kab. Deli Serdang","255520127000.00","4014488000.00","46852333000.00","306386948000.00","380.00","1687226.00","54419.00","2235.40","96.40"
"Kab. Karo","174157139000.00","633867000.00","22287920000.00","197078926000.00","259.00","335280.00","19122.00","2107.56","105.59"
"Kab. Labuhanbatu","50431604000.00","1267733000.00","18526765000.00","70226102000.00","75.00","299733.00","11887.00","1877.22","99.45"
"Kab. Langkat","161381133000.00","3591911000.00","40473224000.00","205446268000.00","240.00","807110.00","46748.00","5802.28","89.99"
"Kab. Mandailing Natal","253502863000.00","1479022000.00","30859535000.00","285841420000.00","377.00","390121.00","26419.00","6089.76","102.03"
"Kab. Nias","114311636000.00","29791730000.00","36481761000.00","180585127000.00","170.00","152640.00","64827.00","1842.51","107.91"
"Kab. Simalungun","259554655000.00","1690311000.00","33197238000.00","294442204000.00","386.00","883365.00","27134.00","4056.91","106.46"
"Kab. Tapanuli Selatan","141880913000.00","1479022000.00","24391344000.00","167751279000.00","211.00","211328.00","17915.00","4901.47","101.40"
"Kab. Tapanuli Tengah","106915000000.00","8028977000.00","25597996000.00","140541973000.00","159.00","195061.00","35898.00","1814.38","95.97"
"Kab. Tapanuli Utara","162053554000.00","845155000.00","21287455000.00","184186164000.00","241.00","287513.00","25719.00","406.24","101.10"
"Kab. Toba Samosir","155329340000.00","633867000.00","20138031000.00","176101238000.00","231.00","180593.00","16837.00","2279.70","104.05"
"Kota Padang Sidempuan","28241698000.00","0.00","11437056000.00","39678754000.00","42.00","54064.00","3887.00","98.76","106.65"
"Kab. Pakpak Bharat","34965912000.00","0.00","13332718000.00","48298630000.00","52.00","53067.00","4942.00","1218.30","105.55"
"Kab. Nias Selatan","308641417000.00","5704799000.00","34076117000.00","348422333000.00","459.00","352587.00","54277.00","1815.80","101.82"
"Kab. Humbang Hasundutan","102880472000.00","2112889000.00","18342936000.00","123336297000.00","153.00","192578.00","13237.00","2335.12","95.88"
"Kab. Serdang Bedagai","159363869000.00","845155000.00","24565278000.00","184774302000.00","237.00","620437.00","19657.00","1871.57","102.66"
"Kab. Samosir","86069938000.00","3380622000.00","19293939000.00","108744499000.00","128.00","131674.00","15865.00","2031.13","107.69"
"Kab. Batu Bara","94811416000.00","3169333000.00","20862422000.00","118843171000.00","141.00","333938.00","21243.00","884.35","101.29"
"Kab. Padang Lawas","203743680000.00","1901600000.00","24452578000.00","230097858000.00","303.00","237463.00","20699.00","3926.01","104.28"
"Kab. Padang Lawas Utara","259554655000.00","1479022000.00","26210983000.00","287244660000.00","386.00","250559.00","26237.00","3816.54","102.51"
"Kab. Labuhanbatu Selatan","34965912000.00","422578000.00","26159881000.00","61548371000.00","52.00","283534.00","26296.00","3463.20","104.00"
"Kab. Labuhanbatu Utara","55138554000.00","2324178000.00","21660795000.00","79123527000.00","82.00","326376.00","14532.00","3399.39","96.45"
"Kab. Nias Utara","75311195000.00","26622397000.00","35074727000.00","137008319000.00","112.00","146443.00","63852.00","1193.04","107.23"
"Kab. Nias Barat","70604246000.00","18382131000.00","25013871000.00","114000248000.00","105.00","94492.00","40401.00","473.73","104.25"
"Kota Gunungsitoli","65897296000.00","5493510000.00","17686963000.00","89077769000.00","98.00","121729.00","18249.00","275.66","109.99"
"Kab. Limapuluh Kota","53121290000.00","422578000.00","21902737000.00","75446605000.00","79.00","378944.00","12835.00","3571.14","97.50"
"Kab. Agam","55138554000.00","0.00","19111201000.00","74249755000.00","82.00","527735.00","8452.00","1804.30","96.61"
"Kab. Kepulauan Mentawai","28914120000.00","1056444000.00","24420207000.00","54390771000.00","43.00","86779.00","10528.00","6011.35","126.21"
"Kab. Padang Pariaman","69259403000.00","1056444000.00","24722551000.00","95038398000.00","103.00","461019.00","28421.00","1332.51","95.41"
"Kab. Pasaman","24879591000.00","1690311000.00","21692179000.00","48262081000.00","37.00","317542.00","14306.00","3678.96","94.03"
"Kab. Pesisir Selatan","122380692000.00","3169333000.00","40755808000.00","166305833000.00","182.00","507704.00","53950.00","5749.89","97.32"
"Kab. Sijunjung","41017705000.00","211289000.00","17558655000.00","58787649000.00","61.00","235999.00","6312.00","3081.89","97.67"
"Kab. Solok","49759183000.00","1479022000.00","23249358000.00","74487563000.00","74.00","382663.00","14964.00","3738.00","101.11"
"Kab. Tanah Datar","50431604000.00","0.00","16422645000.00","66854249000.00","75.00","370443.00","5693.00","1336.10","101.69"
"Kota Sawahlunto","18155377000.00","211289000.00","9844556000.00","28211222000.00","27.00","50368.00","1268.00","226.84","97.34"
"Kota Pariaman","36983176000.00","0.00","11067058000.00","48050234000.00","55.00","72405.00","4302.00","57.87","99.51"
"Kab. Pasaman Barat","12776006000.00","0.00","34462485000.00","47238491000.00","19.00","430486.00","46213.00","3887.77","95.87"
"Kab. Dharmasraya","34965912000.00","0.00","16627205000.00","51593117000.00","52.00","209924.00","4407.00","2961.13","99.50"
"Kab. Solok Selatan","26224434000.00","0.00","17185117000.00","43409551000.00","39.00","179746.00","5314.00","3346.20","99.07"
"Kab. Bengkalis","91449309000.00","4014488000.00","35607899000.00","131071696000.00","136.00","344585.00","40786.00","6389.03","98.43"
"Kab. Indragiri Hilir","132467013000.00","633867000.00","35293153000.00","168394033000.00","197.00","395741.00","20355.00","10820.44","97.83"
"Kab. Indragiri Hulu","119691007000.00","5916088000.00","34574790000.00","160181885000.00","178.00","336109.00","37119.00","6979.38","92.53"
"Kab. Kampar","162725976000.00","1690311000.00","45253301000.00","209669588000.00","242.00","690967.00","42726.00","10744.84","91.08"
"Kab. Kuantan Singingi","146587862000.00","0.00","25678914000.00","172266776000.00","218.00","306204.00","21779.00","5153.10","86.28"
"Kab. Pelalawan","69931824000.00","2958044000.00","31419907000.00","104309775000.00","104.00","233359.00","24280.00","8516.82","93.64"
"Kab. Rokan Hilir","106915000000.00","1690311000.00","34684079000.00","143289390000.00","159.00","508542.00","23746.00","8313.73","106.68"
"Kab. Rokan Hulu","93466573000.00","4225777000.00","42168711000.00","139861061000.00","139.00","499507.00","52614.00","7127.40","96.82"
"Kab. Siak","82035409000.00","211289000.00","28993976000.00","111240674000.00","122.00","319127.00","16399.00","7923.25","98.23"
"Kab. Kepulauan Meranti","64552453000.00","4648355000.00","27200188000.00","96400996000.00","96.00","156341.00","30203.00","3644.07","110.81"
"Kab. Batang Hari","73966353000.00","0.00","24548758000.00","98515111000.00","110.00","225813.00","17802.00","5677.23","89.29"
"Kab. Bungo","94811416000.00","422578000.00","19542502000.00","114776496000.00","141.00","265518.00","7709.00","4559.27","87.04"
"Kab. Kerinci","191640095000.00","0.00","20699119000.00","212339214000.00","285.00","234836.00","15961.00","3271.95","91.74"
"Kab. Merangin","137846384000.00","1901600000.00","29965110000.00","169713094000.00","205.00","278312.00","24060.00","7553.15","89.13"
"Kab. Muaro Jambi","100863208000.00","845155000.00","21563383000.00","123271746000.00","150.00","337932.00","8592.00","4827.72","94.25"
"Kab. Sarolangun","100190787000.00","1690311000.00","26828745000.00","128709843000.00","149.00","262554.00","23147.00","5788.13","88.04"
