"Daerah","Belanja Pegawai","Penduduk","Luas Daratan","Luas Lautan","Total Luas Wilayah","IKK","IPM","PDRB per kapita","PAD","DBH Pajak","DBH SDA","Alokasi DAU"
"Provinsi Aceh","1362292043598.00","5152887.00","57956.00","43769.53","101725.53","96.41","70.00","24189775.36","2060180945551.33","155200213661.00","20266427275.00","2060263235000.00"
"Kab. Aceh Barat","291687801986.00","189119.00","2927.95","361.39","3289.34","96.89","69.26","31241149.45","140614479580.25","14795042262.00","7104551356.00","570763544000.00"
"Kab. Aceh Besar","398026315681.00","384661.00","2969.00","1679.50","4648.50","96.05","71.75","26114065.81","135284494843.71","18715872355.00","2501083500.00","713344629000.00"
"Kab. Aceh Selatan","344633285696.00","230254.00","3841.60","1300.49","5142.09","96.97","64.13","18564054.59","125989165878.83","12343489014.00","2551637552.00","641605359000.00"
"Kab. Aceh Singkil","169643212012.00","129963.00","2185.00","2743.30","4928.30","92.93","66.96","14236244.10","42057160522.96","16915572751.00","2914033081.00","441266415000.00"
"Kab. Aceh Tengah","316734158359.00","208407.00","4318.39","Km 2","4318.39","102.64","72.04","29507948.85","156130102890.16","13304156542.00","4003691511.00","603737495000.00"
"Kab. Aceh Tenggara","295800947314.00","221684.00","4231.43","Km 2","4231.43","97.33","67.48","17269749.92","61457042356.11","13872672112.00","2122838529.00","586091423000.00"
"Kab. Aceh Timur","438627683675.00","422261.00","6286.01","963.94","7249.95","98.98","65.42","18768562.42","94345443632.42","60282687695.00","2132722677.00","786034858000.00"
"Kab. Aceh Utara","595535874940.00","575895.00","3236.86","365.89","3602.75","101.12","67.19","20731896.43","388251800972.81","144746963933.00","32835023633.00","847191268000.00"
"Kab. Bireuen","490918363592.00","432870.00","1901.20","504.12","2405.32","100.49","70.21","23900078.19","186162575752.23","22386573384.00","2203549600.00","802618535000.00"
"Kab. Pidie                                        ","490738079848.00","437740.00","3086.95","378.62","3465.57","94.10","69.06","18325820.81","249489453845.72","17186253321.00","3382963880.00","794948892000.00"
"Kab. Simeulue","167997019106.00","89327.00","2051.48","3609.35","5660.83","105.87","63.82","19455677.32","48646141736.18","11432064451.00","2131365430.00","444554705000.00"
