"Daerah","Belanja Pegawai","Penduduk","Luas Daratan","Luas Lautan","Total Luas Wilayah","IKK","IPM","PDRB per kapita","PAD","DBH Pajak","DBH SDA","Alokasi DAU Formula"
"Provinsi Aceh","1443316582636.00","5227034.00","57956.00","43600.19","101556.19","100.39","70.60","25646178.32","2276305568814.00","217019092805.00","33277554217.00","2126193327000.00"
"Kab. Aceh Barat","312670655386.00","193748.00","2927.95","367.02","3294.97","99.66","70.20","32910552.42","161742858644.00","13480091861.00","9450499655.00","588209483000.00"
"Kab. Aceh Besar","426980358181.00","389271.00","2969.00","1602.55","4571.55","103.36","72.00","27894785.45","126380380300.00","17854158702.00","3917818552.00","751399714000.00"
"Kab. Aceh Selatan","368661891190.00","233756.00","3841.60","1243.32","5084.92","96.95","65.03","19744907.09","140875267832.00","12596903546.00","3467098684.00","660081905000.00"
"Kab. Aceh Singkil","187389676202.00","125868.00","2185.00","2708.43","4893.43","101.81","67.37","15503369.04","43441129848.00","14958465551.00","4556316718.00","454078750000.00"
"Kab. Aceh Tengah","341970098756.00","212146.00","4318.39","0","4318.39","98.93","72.19","31306959.61","163000739413.00","11611310510.00","3443402742.00","623701928000.00"
"Kab. Aceh Tenggara","314766298032.00","224280.00","4231.43","0","4231.43","96.16","68.09","18790774.26","60053234222.00","11915231171.00","3423798414.00","602160379000.00"
"Kab. Aceh Timur","477459352563.00","428053.00","6286.01","834.67","7120.68","103.00","66.32","19874132.39","152401172880.00","61028740785.00","4054407374.00","819436048000.00"
"Kab. Aceh Utara","630470966022.00","582007.00","3236.86","376.85","3613.71","104.23","67.67","22515693.16","202091566055.00","157945076686.00","59315105632.00","895221997000.00"
"Kab. Bireuen","523130757523.00","437553.00","1901.20","494.71","2395.91","103.74","71.11","25288687.30","192939858236.00","21519069907.00","3528826053.00","834727911000.00"
"Kab. Pidie                                        ","523389377434.00","439346.00","3086.95","408.31","3495.26","102.19","69.52","19719034.49","267608101034.00","16053324341.00","4794976158.00","825287235000.00"
"Kab. Simeulue","186353604902.00","92077.00","2051.48","3569.88","5621.36","110.93","64.41","20548143.92","61095183851.00","14176717752.00","3437045866.00","465338369000.00"
"Kota Banda Aceh","279524595088.00","243522.00","61.36","83.17","144.53","102.26","83.95","68808251.27","270170805366.00","36650104037.00","3420491049.00","605014830000.00"
"Kota Sabang","141592097708.00","41436.00","153.00","830.70","983.70","115.25","74.10","30689017.50","55081057066.00","12661604820.00","3473449785.00","370143343000.00"
"Kota Langsa","234705096277.00","185551.00","262.41","83.86","346.27","97.51","75.89","22439718.14","120138956033.00","17904744626.00","3418042601.00","456700561000.00"
"Kota Lhokseumawe","208446647076.00","192748.00","181.06","143.91","324.97","100.78","76.34","34142531.19","62986260104.00","45714127627.00","3418028642.00","469471445000.00"
"Kab. Gayo Lues","184710959413.00","99118.00","5719.58","0","5719.58","93.26","65.01","22239985.59","60312455602.00","13144333740.00","3201038632.00","472230875000.00"
"Kab. Aceh Barat Daya","204720772063.00","151249.00","1490.60","324.97","1815.57","93.54","65.09","21854447.94","91571494831.00","11524150478.00","3430115334.00","460983806000.00"
"Kab. Aceh Jaya","168996476793.00","89599.00","3812.99","1045.00","4857.99","100.64","68.07","24654398.06","52599500274.00","10728162727.00","3450049360.00","437094042000.00"
"Kab. Nagan Raya","228172613238.00","169348.00","3363.72","522.58","3886.30","94.30","67.78","34385445.48","74051054127.00","13779899059.00","5008636835.00","522187942000.00"
"Kab. Aceh Tamiang","293985513121.00","293072.00","1956.72","357.67","2314.39","94.95","67.99","18779512.31","116246212754.00","98083882780.00","5069591014.00","547975351000.00"
"Kab. Bener Meriah","208297504848.00","158772.00","1454.09","0","1454.09","98.79","71.89","25045656.11","82038407024.00","12490787382.00","3449263819.00","458759081000.00"
"Kab. Pidie Jaya","209057537664.00","159460.00","1073.60","224.66","1298.26","100.47","71.73","18249801.49","47409466845.00","11730762337.00","3418488170.00","441952256000.00"
"Kota Subulussalam","120392153278.00","85054.00","1391.00","0","1391.00","99.11","62.88","15496629.67","56519514115.00","11220124103.00","3462697461.00","353735077000.00"
"Provinsi Sumatera Utara","1845858478482.00","14838678.00","72981.23","42650.65","115631.88","101.47","70.57","36425940.27","5287469401500.00","443620272308.00","9705692365.00","2713750553000.00"
"Kab. Asahan","463368839332.00","781294.00","3702.21","409.76","4111.97","95.45","69.10","31463835.07","123687304879.00","55306479431.00","927515133.00","906419993000.00"
"Kab. Dairi","316675240737.00","315076.00","1927.80","0","1927.80","107.06","70.36","24814245.44","128489751332.00","13944443595.00","1579656280.00","627664476000.00"
"Kab. Deli Serdang","889286899803.00","1809683.00","2241.68","302.53","2544.21","96.40","73.94","34871463.51","849286151151.00","58101539036.00","1144676778.00","1510993188000.00"
"Kab. Karo","394342813868.00","404141.00","2127.00","0","2127.00","105.59","73.53","43508802.75","157866720976.00","16095990432.00","890999971.00","757048872000.00"
"Kab. Labuhanbatu","344617663702.00","501013.00","2156.02","323.74","2479.76","99.45","71.00","36796444.80","124674017375.00","46649941190.00","930066189.00","706387966000.00"
"Kab. Langkat","697855688423.00","1042569.00","6262.00","561.80","6823.80","89.99","69.82","26617132.21","139717647855.00","180719257837.00","2450068045.00","1212693537000.00"
"Kab. Mandailing Natal","415399672521.00","483694.00","6134.00","1232.39","7366.39","102.03","65.13","21494237.36","80581688937.00","17897310195.00","3179892192.00","811216130000.00"
"Kab. Nias","167403975486.00","152640.00","1842.51","617.91","2460.42","107.91","60.21","19219644.31","95726167744.00","10293254950.00","925395120.00","443235113000.00"
"Kab. Simalungun","715342962616.00","1029912.00","4369.00","0","4369.00","106.46","71.83","28015610.43","252663015527.00","36881113593.00","885429219.00","1243341378000.00"
"Kab. Tapanuli Selatan","312989916217.00","309155.00","6030.47","110.97","6141.44","101.40","68.69","30885755.45","104722613705.00","19662335020.00","8595928188.00","659619123000.00"
"Kab. Tapanuli Tengah","326104475718.00","360992.00","2188.00","2050.94","4238.94","95.97","67.96","21124524.01","72710308591.00","16134026994.00","2090110812.00","649961800000.00"
"Kab. Tapanuli Utara","347112712481.00","314709.00","3791.64","0","3791.64","101.10","72.38","21447441.40","162441906093.00","21111403598.00","6939540308.00","655805793000.00"
"Kab. Toba Samosir","261733322211.00","210380.00","2328.89","0","2328.89","104.05","73.87","28162971.22","54840823646.00","15253150752.00","1677032355.00","543079562000.00"
"Kota Binjai","305462200475.00","281507.00","59.19","0","59.19","95.19","74.65","30634546.74","139217621697.00","23293761834.00","920628036.00","578790111000.00"
"Kota Medan","990028751968.00","2499838.00","265.00","26.44","291.44","105.75","79.98","70307875.94","1739756922634.00","198722934911.00","728354995.00","1633591868000.00"
"Kota Pematang Siantar","303431844788.00","283741.00","55.66","0","55.66","98.31","77.54","34273428.39","105445993204.00","24105788146.00","727950039.00","597491807000.00"
"Kota Sibolga","158937545638.00","93906.00","41.31","31.83","73.14","106.45","72.28","45893231.74","103672203938.00","13127395382.00","925395120.00","418908191000.00"
"Kota Tanjung Balai","178477550119.00","173779.00","107.83","0","107.83","86.52","67.41","34692249.60","65108266616.00","12040072360.00","925395120.00","435346351000.00"
"Kota Tebing Tinggi","188233299289.00","169833.00","31.00","0","31.00","97.99","73.90","25436351.63","113222874687.00","13774339233.00","736588383.00","419071661000.00"
"Kota Padang Sidempuan","250343323613.00","224442.00","114.66","0","114.66","106.65","73.81","22422024.79","109640419281.00","16276629096.00","1587556662.00","510642332000.00"
"Kab. Pakpak Bharat","125283425817.00","53067.00","1218.30","0","1218.30","105.55","66.25","19706067.45","29320487447.00","9635244641.00","739067920.00","354721524000.00"
"Kab. Nias Selatan","232098503418.00","363851.00","1825.20","5014.02","6839.22","101.82","59.85","14820601.02","18450266700.00","10686703657.00","1145736093.00","587955530000.00"
"Kab. Humbang Hasundutan","254117179663.00","198323.00","2335.33","0","2335.33","95.88","67.30","25686133.04","85598357027.00","12233098259.00","907183668.00","535793748000.00"
"Kab. Serdang Bedagai","397847461398.00","654867.00","1900.22","612.97","2513.19","102.66","69.16","29794519.19","103711290229.00","35157851047.00","925395120.00","797088981000.00"
"Kab. Samosir","194726271566.00","141807.00","2069.05","0","2069.05","107.69","69.43","25728565.12","72228748255.00","11514386765.00","978653166.00","463519618000.00"
"Kab. Batu Bara","271051290752.00","363333.00","922.20","748.32","1670.52","101.29","67.20","44014005.72","66944796374.00","22648356204.00","925395120.00","625193759000.00"
"Kab. Padang Lawas","215555618221.00","259302.00","3892.74","0","3892.74","104.28","66.82","31116615.07","46509729525.00","24136831616.00","2443100159.00","540720708000.00"
"Kab. Padang Lawas Utara","236697795929.00","265810.00","3918.05","0","3918.05","102.51","68.34","29497213.89","74524919693.00","21400337577.00","1474252435.00","554213357000.00"
"Kab. Labuhanbatu Selatan","182522622453.00","320362.00","3596.00","0","3596.00","104.00","70.48","41004497.95","84964450592.00","42340834176.00","3183560781.00","522537176000.00"
"Kab. Labuhanbatu Utara","250128141991.00","390622.00","3570.98","133.90","3704.88","96.45","70.79","37979482.48","52690086354.00","23788784691.00","740842546.00","608668247000.00"
"Kab. Nias Utara","141580425093.00","149499.00","1202.78","1578.53","2781.31","107.23","60.57","19247993.88","20107246943.00","11020852849.00","925395120.00","428942187000.00"
