,Kode Daerah,Daerah,Belanja Pegawai,Penduduk,Luas Daratan,Luas Lautan,Total Luas Wilayah,IKK,IPM,PDRB per kapita,PAD,DBH Pajak,DBH SDA,Alokasi DAU,Alokasi DAU APBN-P
0,0100,Provinsi Aceh,1431249973102.00,5253512.00,57956.00,43631.30,101587.30,98.68,71.19,26787256.31,2359385393645.65,153815821172.00,32167925675.00,2174942529000.00,1956492796000.00
1,0101,Kab. Aceh Barat,311569763534.00,195634.00,2927.95,363.51,3291.46,94.78,70.47,34098994.92,150499049235.64,13877807354.00,15994469124.00,592496466000.00,525004445000.00
2,0102,Kab. Aceh Besar,425368208170.00,391987.00,2969.00,1649.64,4618.64,97.35,72.73,29844845.18,159480163137.63,13593001718.00,3773053009.00,759343544000.00,680085735000.00
3,0103,Kab. Aceh Selatan,366362658482.00,235381.00,3841.60,1284.21,5125.81,95.81,65.92,20926771.62,32923827546.93,11261304493.00,3973118474.00,673781136000.00,597029876000.00
4,0104,Kab. Aceh Singkil,182863485562.00,126636.00,2185.00,2709.27,4894.27,102.56,68.02,16860963.17,45289515136.55,13482013051.00,3680887777.00,462186825000.00,409538540000.00
5,0105,Kab. Aceh Tengah,331107519872.00,214377.00,4318.39,0,4318.39,101.46,72.64,32887315.66,150818710372.27,10418230537.00,4236453222.00,630127576000.00,558348948000.00
6,0106,Kab. Aceh Tenggara,310506139708.00,225606.00,4231.43,0,4231.43,97.98,68.67,19826788.80,80263476272.42,8606740512.00,3553182577.00,607495235000.00,538294686000.00
7,0107,Kab. Aceh Timur,480808983354.00,422964.00,6286.01,839.01,7125.02,99.16,66.82,20895554.01,169455864158.29,32007950528.00,16791089295.00,832279343000.00,737473352000.00
8,0108,Kab. Aceh Utara,628801450278.00,585592.00,3236.86,383.67,3620.53,99.11,68.36,23469378.66,231848856926.46,96473023759.00,40787003000.00,918726998000.00,822833263000.00
9,0109,Kab. Bireuen,512037117724.00,439572.00,1901.20,493.80,2395.00,102.72,71.37,26653575.54,179476248778.22,13614101639.00,3540745774.00,838049362000.00,750576496000.00
10,0110,Kab. Pidie                                        ,511814859224.00,441133.00,3086.95,436.11,3523.06,97.82,69.93,21206623.73,237201958015.66,11616418206.00,3942006662.00,829204015000.00,742654398000.00
11,0111,Kab. Simeulue,183068468426.00,93442.00,2051.48,3568.54,5620.02,107.67,64.74,21542124.16,63146021911.26,8347313987.00,3553142386.00,476616530000.00,422324539000.00
12,0112,Kota Banda Aceh,273722698658.00,245184.00,61.36,86.84,148.20,103.99,84.37,70523174.88,246272150484.71,36334696132.00,3540745774.00,605014830000.00,547629398000.00
13,0113,Kota Sabang,145309789722.00,42103.00,153.00,791.21,944.21,113.55,74.82,32660711.96,57188076200.36,7817975001.00,3612215687.00,377738880000.00,338311725000.00
14,0114,Kota Langsa,231090491796.00,186827.00,262.41,85.12,347.53,98.72,76.34,23788667.64,121316713328.93,13858904834.00,3540783274.00,457890254000.00,414459534000.00
15,0115,Kota Lhokseumawe,211143201702.00,188844.00,181.06,141.73,322.79,101.88,76.62,35158309.98,65618966777.60,28928488941.00,3553182577.00,469873581000.00,425306246000.00
