,Kode Daerah,Daerah,Belanja Pegawai,Penduduk,Luas Daratan,Luas Lautan,Total Luas Wilayah,IKK,IPM,PDRB per kapita,PAD,DBH Pajak,DBH SDA,Alokasi DAU
0,0100,Provinsi Aceh,1391678744400.00,5288885.00,57956.00,43631.30,101587.30,96.38,71.90,28282426.84,2698912471144.15,117835238664.00,40768354210.00,2010367360000.00
1,0101,Kab. Aceh Barat,300815339752.00,196541.00,2927.95,363.51,3291.46,89.63,71.22,36228813.31,153799291478.27,11507133037.00,28874320041.00,561819533000.00
2,0102,Kab. Aceh Besar,406805218958.00,395653.00,2969.00,1649.64,4618.64,95.17,73.55,31542507.88,169896999689.45,11503195793.00,5071295244.00,771619306000.00
3,0103,Kab. Aceh Selatan,352509022432.00,237548.00,3841.60,1284.21,5125.81,98.07,66.90,21949365.30,139976611272.05,8834668344.00,4820019490.00,615381713000.00
4,0104,Kab. Aceh Singkil,191943585636.00,127373.00,2185.00,2709.27,4894.27,99.72,68.91,17854030.13,45264588433.92,12797988843.00,4357286118.00,419635768000.00
5,0105,Kab. Aceh Tengah,328619506110.00,215468.00,4318.39,0,4318.39,104.99,73.14,33886258.79,170961167591.14,8584646585.00,6682849323.00,584064494000.00
6,0106,Kab. Aceh Tenggara,302475044266.00,226868.00,4231.43,0,4231.43,100.77,69.36,21363913.44,117628924350.95,7159061561.00,4337724054.00,557213845000.00
7,0107,Kab. Aceh Timur,470956350182.00,424906.00,6286.01,839.01,7125.02,95.43,67.39,22568623.99,185148022039.99,29719856755.00,17989749571.00,784643932000.00
8,0108,Kab. Aceh Utara,607080944688.00,588610.00,3236.86,383.67,3620.53,98.80,69.22,24801918.42,279567720149.97,70749295471.00,52413739122.00,911862322000.00
9,0109,Kab. Bireuen,493585182602.00,441671.00,1901.20,493.80,2395.00,96.68,72.27,28363680.28,156528834490.69,10345673496.00,4314753455.00,827762183000.00
10,0110,Kab. Pidie                                        ,492050875858.00,443669.00,3086.95,436.11,3523.06,92.96,70.41,22591506.96,243230774790.47,9282879327.00,5160756570.00,850490420000.00
11,0111,Kab. Simeulue,186398848514.00,94006.00,2051.48,3568.54,5620.02,109.99,65.70,22990539.66,79466327068.60,6771301547.00,4318468159.00,432894090000.00
12,0112,Kota Banda Aceh,261139225298.00,247048.00,61.36,86.84,148.20,100.26,85.07,74315082.89,235123074164.05,31653108090.00,4309572917.00,557079909000.00
13,0113,Kota Sabang,138928111764.00,42314.00,153.00,791.21,944.21,111.13,75.77,35304284.94,59329692603.26,6590932650.00,4382593343.00,343123774000.00
14,0114,Kota Langsa,223146640616.00,187950.00,262.41,85.12,347.53,93.37,77.16,25699158.87,115244246710.49,10808147108.00,4310253533.00,421002694000.00
15,0115,Kota Lhokseumawe,201541182074.00,190074.00,181.06,141.73,322.79,101.61,77.30,38142100.45,61442558519.86,38855682193.00,4311556338.00,432477774000.00
16,0116,Kab. Gayo Lues,182407001620.00,101340.00,5719.58,0,5719.58,100.59,66.87,23017571.66,51415803751.47,7186270673.00,6253949591.00,433649541000.00
17,0117,Kab. Aceh Barat Daya,199527417318.00,152699.00,1490.60,330.29,1820.89,90.96,66.56,24410091.15,90348940272.37,7591437087.00,4408409131.00,424470065000.00
18,0118,Kab. Aceh Jaya,168755787042.00,92474.00,3812.99,1041.40,4854.39,92.88,69.74,26463410.75,72776854246.39,7982248715.00,4344740456.00,405647701000.00
19,0119,Kab. Nagan Raya,222825949774.00,172061.00,3363.72,528.17,3891.89,87.14,69.11,38156958.94,87625375251.38,12354442938.00,5471268111.00,492894146000.00
20,0120,Kab. Aceh Tamiang,283050039316.00,298619.00,1956.72,352.05,2308.77,91.89,69.23,20752696.71,128905940324.92,91067332707.00,12888943124.00,504489012000.00
21,0121,Kab. Bener Meriah,201239349522.00,161110.00,1454.09,0,1454.09,91.68,72.97,26747254.20,86415549452.45,6858030635.00,4357896362.00,431518927000.00
22,0122,Kab. Pidie Jaya,201957655568.00,161912.00,1073.60,203.72,1277.32,92.08,72.87,20545866.89,68830728478.21,6524289862.00,4313343827.00,417678904000.00
23,0123,Kota Subulussalam,118815558798.00,88971.00,1391.00,0,1391.00,85.82,64.46,16824608.42,51810001542.58,7956344044.00,4337090938.00,324247442000.00
24,0200,Provinsi Sumatera Utara,1707744017006.00,15032170.00,72981.23,42750.47,115731.70,99.84,71.74,42886777.89,5761270412051.31,316805783027.00,49548901358.00,2545202693000.00
25,0201,Kab. Asahan,405232253356.00,789056.00,3702.21,422.96,4125.17,92.13,69.92,36704009.58,149647050441.83,49752268950.00,3493155458.00,845782109000.00
26,0202,Kab. Dairi,291955417578.00,316892.00,1927.80,0,1927.80,101.99,71.42,28997746.46,74360339717.75,10268362785.00,4387439076.00,575549527000.00
27,0203,Kab. Deli Serdang,806407849840.00,1878399.00,2241.68,299.26,2540.94,96.45,75.43,40682510.44,825375281296.75,51723141418.00,3991671509.00,1399718855000.00
