"Daerah","Jumlah Kelurahan","Kategori Pelayanan Dasar Publik","Alokasi DAU Tambahan"
"Provinsi Aceh","0","-","0"
"Kab. Aceh Barat","0","-","0"
"Kab. Aceh Besar","0","-","0"
"Kab. Aceh Selatan","0","-","0"
"Kab. Aceh Singkil","0","-","0"
"Kab. Aceh Tengah","0","-","0"
"Kab. Aceh Tenggara","0","-","0"
"Kab. Aceh Timur","0","-","0"
"Kab. Aceh Utara","0","-","0"
"Kab. Bireuen","0","-","0"
"Kab. Pidie","0","-","0"
"Kab. Simeulue","0","-","0"
"Kota Banda Aceh","0","-","0"
"Kota Sabang","0","-","0"
"Kota Langsa","0","-","0"
"Kota Lhokseumawe","0","-","0"
"Kab. Gayo Lues","0","-","0"
"Kab. Aceh Barat Daya","0","-","0"
"Kab. Aceh Jaya","0","-","0"
"Kab. Nagan Raya","0","-","0"
"Kab. Aceh Tamiang","0","-","0"
"Kab. Bener Meriah","0","-","0"
"Kab. Pidie Jaya","0","-","0"
"Kota Subulussalam","0","-","0"
"Provinsi Sumatera Utara","0","-","0"
"Kab. Asahan","27.00","PERLU DITINGKATKAN","9993726000.00"
"Kab. Dairi","8.00","PERLU DITINGKATKAN","2961104000.00"
"Kab. Deli Serdang","14.00","PERLU DITINGKATKAN","5181932000.00"
"Kab. Karo","10.00","SANGAT PERLU DITINGKATKAN","3840000000.00"
"Kab. Labuhanbatu","23.00","PERLU DITINGKATKAN","8513174000.00"
"Kab. Langkat","37.00","PERLU DITINGKATKAN","13695106000.00"
"Kab. Mandailing Natal","27.00","SANGAT PERLU DITINGKATKAN","10368000000.00"
"Kab. Nias","0","-","0"
"Kab. Simalungun","27.00","PERLU DITINGKATKAN","9993726000.00"
"Kab. Tapanuli Selatan","37.00","PERLU DITINGKATKAN","13695106000.00"
"Kab. Tapanuli Tengah","56.00","PERLU DITINGKATKAN","20727728000.00"
"Kab. Tapanuli Utara","11.00","PERLU DITINGKATKAN","4071518000.00"
"Kab. Toba Samosir","13.00","PERLU DITINGKATKAN","4811794000.00"
"Kota Binjai","37.00","PERLU DITINGKATKAN","13695106000.00"
"Kota Medan","151.00","BAIK","53294091000.00"
"Kota Pematang Siantar","53.00","BAIK","18705873000.00"
"Kota Sibolga","17.00","PERLU DITINGKATKAN","6292346000.00"
