,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,Daerah,Kriteria Utama,Opini BPK atas LKPD 2017,Penetapan Perda APBD 2018,Penggunaan e-procurement,Penggunaan e-budgeting,Ketersediaan PTSP,Memenuhi/Tidak Memenuhi Kriteria Utama,Kategori Kinerja,"Kesehatan Fiskal dan Pengelolaan Keuangan Daerah (Passing Grade = 63,65)",Pelayanan Dasar Publik,"Infrastruktur (Passing Grade = 65,93)","Kesehatan (Passing Grade = 66,49)","Pendidikan (Passing Grade = 62,20)","Kesejahteraan Masyarakat (Passing Grade = 63,96)",Pelayanan Pemerintahan Umum,Inovasi Pelayanan Publik,Kemudahan Berusaha,Pengelolaan Sampah,Penyelenggaraan Pemerintahan,Perencanaan Daerah,SAKIP
1,Provinsi Aceh,-,WTP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"51,47",-,"59,33","43,08","48,91","49,97",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
2,Kab. Aceh Barat,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"62,50",-,"52,04","66,71","61,18","70,79",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
3,Kab. Aceh Besar,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"49,60",-,"47,23","46,83","64,64","55,79",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
4,Kab. Aceh Selatan,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"48,65",-,"47,02","38,12","63,15","65,92",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
5,Kab. Aceh Singkil,-,WTP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"61,74",-,"71,88","46,31","44,40","49,65",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
6,Kab. Aceh Tengah,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"65,41",-,"53,21","52,41","55,94","48,76",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
7,Kab. Aceh Tenggara,-,WTP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"49,24",-,"60,54","42,61","48,43","60,59",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
8,Kab. Aceh Timur,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"58,32",-,"53,79","43,54","68,88","65,80",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
9,Kab. Aceh Utara,-,WTP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"50,37",-,"52,38","61,67","66,51","51,19",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
10,Kab. Bireuen,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"56,92",-,"52,73","72,93","68,53","73,86",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
11,Kab. Pidie                                        ,-,WTP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"51,06",-,"58,93","48,95","63,63","51,04",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
12,Kab. Simeulue,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"59,33",-,"43,95","59,79","62,29","55,71",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
13,Kota Banda Aceh,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"58,68",-,"76,79","84,68","52,36","60,66",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
14,Kota Sabang,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"59,59",-,"63,39","62,77","71,45","50,78",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
15,Kota Langsa,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"65,01",-,"61,28","58,61","45,10","53,73",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
16,Kota Lhokseumawe,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"54,33",-,"68,04","61,57","57,37","53,01",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
17,Kab. Gayo Lues,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"64,22",-,"59,58","58,61","60,11","54,91",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
18,Kab. Aceh Barat Daya,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"50,77",-,"50,10","53,20","55,25","50,90",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
19,Kab. Aceh Jaya,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"70,50",-,"69,32","52,67","51,46","54,34",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
20,Kab. Nagan Raya,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"55,40",-,"47,90","78,08","48,85","51,51",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
21,Kab. Aceh Tamiang,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"53,43",-,"56,41","55,89","67,20","54,40",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
22,Kab. Bener Meriah,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"60,69",-,"43,46","80,82","62,36","64,79",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
23,Kab. Pidie Jaya,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"43,50",-,"72,43","61,82","51,21","58,06",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
24,Kota Subulussalam,-,WTP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"61,67",-,"34,15","24,18","46,37","36,07",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
25,Provinsi Sumatera Utara,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"48,96",-,"59,63","52,82","60,74","56,93",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
26,Kab. Asahan,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"54,84",-,"56,81","79,14","63,72","62,97",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
27,Kab. Dairi,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"56,48",-,"61,91","63,64","60,86","71,48",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
28,Kab. Deli Serdang,-,WDP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"70,43",-,"69,66","61,21","69,88","75,66",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
29,Kab. Karo,-,WDP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"63,02",-,"59,37","63,65","42,74","53,51",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
30,Kab. Labuhanbatu,-,WDP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"55,12",-,"65,14","68,63","72,15","65,50",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
31,Kab. Langkat,-,WDP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"54,58",-,"61,14","60,25","62,41","69,86",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
32,Kab. Mandailing Natal,-,WDP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"66,59",-,"44,26","45,08","57,61","55,30",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
33,Kab. Nias,-,WDP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"61,18",-,"58,50","45,63","71,07","48,80",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
34,Kab. Simalungun,-,TMP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"54,24",-,"74,11","41,58","58,19","58,57",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
35,Kab. Tapanuli Selatan,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"53,35",-,"61,78","64,12","59,61","82,18",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
36,Kab. Tapanuli Tengah,-,WDP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"54,89",-,"53,84","78,92","61,77","60,65",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
37,Kab. Tapanuli Utara,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"59,18",-,"52,56","65,66","65,96","58,40",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
38,Kab. Toba Samosir,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"51,18",-,"58,74","65,93","71,45","53,53",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
39,Kota Binjai,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"58,84",-,"61,87","66,03","43,39","57,40",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
40,Kota Medan,-,WDP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"64,09",-,"82,77","78,20","65,00","73,15",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
41,Kota Pematang Siantar,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"47,73",-,"75,08","82,36","59,46","56,83",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
42,Kota Sibolga,-,WDP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"58,50",-,"38,60","57,24","61,81","34,48",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
43,Kota Tanjung Balai,-,WDP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"45,33",-,"67,49","43,37","40,87","40,73",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
44,Kota Tebing Tinggi,-,WDP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"63,42",-,"56,51","37,24","60,60","44,54",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
45,Kota Padang Sidempuan,-,WDP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"61,46",-,"46,24","60,44","59,45","54,79",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
46,Kab. Pakpak Bharat,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"59,56",-,"44,23","79,07","58,46","62,36",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
