,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0,Daerah,Kriteria Utama,Opini BPK atas LKPD 2018,Penetapan Perda APBD 2019,Penggunaan e-procurement,Penggunaan e-budgeting,Pemenuhan Kriteria Utama,"Kategori Kinerja (Passing Grade = 76 (B), kecuali Kelompok Kategori Non Passing Grade dan Penilaian K/L)",Kesehatan Fiskal dan Pengelolaan Keuangan Daerah,Belanja Modal Kesehatan | Skor = 65,Belanja Modal Pendidikan | Skor = 60,Kemandirian Daerah | Skor = 30,Ketepatan Waktu Pelaporan (Non Passing Grade),Mandatory Spending (Non Passing Grade),Pembiayaan Kreatif (Penilaian PT. SMI),Realisasi Belanja Daerah | Skor = 10,Peningkatan Investasi | Skor = 30,Pelayanan Dasar Publik Bidang Pendidikan,Angka Partisipasi Murni | Skor = 65,Peta Mutu Pendidikan | Skor = 45,Rata-rata Nilai Ujian Nasional | Skor = 55,Pelayanan Dasar Publik Bidang Kesehatan,Penurunan Baduta Stunting | Skor = 10,Persentase Balita Mendapat Imunisasi Lengkap | Skor = 10,Persentase Persalinan di Fasilitas Kesehatan | Skor = 85,Peningkatan Ekspor | Skor = 55,Pelayanan Dasar Publik Bidang Infrastruktur,Persentase Rumah Tangga Akses Sanitasi Layak | Skor = 60,Persentase Rumah Tangga Sumber Air Minum Layak | Skor = 40,Pengelolaan Sampah (Penilaian KLHK),Kesejahteraan Masyarakat,Indeks Pembangunan Manusia | Skor = 55,Penurunan Tingkat Kemiskinan | Skor = 50,Pelayanan Umum Pemerintahan,Inovasi Pelayanan Publik (Penilaian KemenPANRB),Inovasi Pemerintah Daerah (Penilaian Kemendagri),Penghargaan Pembangunan Daerah (Penilaian Bappenas),Penyelenggaraan Pemerintahan (Penilaian Kemendagri),SAKIP (Penilaian KemenPANRB)
1,Provinsi Aceh,-,WTP,Tepat Waktu,Menggunakan,Menggunakan,Memenuhi Kriteria Utama,-,-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,-,Tidak,Tidak,"10.390.635.000,00",Tidak,-,Tidak,Tidak,Tidak,-,Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,Tidak
2,Kab. Aceh Barat,-,WTP,Tepat Waktu,Menggunakan,Menggunakan,Memenuhi Kriteria Utama,-,-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,-,"10.809.843.000,00",Tidak,Tidak,"11.735.422.000,00",-,Tidak,Tidak,Tidak,-,Tidak,Tidak,"12.478.308.000,00",Tidak,-,Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,Tidak
3,Kab. Aceh Besar,-,WTP,Tepat Waktu,Menggunakan,Menggunakan,Memenuhi Kriteria Utama,-,-,Tidak,"9.809.700.000,00","14.145.150.000,00",Tidak,Tidak,Tidak,"8.931.023.000,00",Tidak,-,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,-,"9.966.486.000,00","11.842.268.000,00",Tidak,-,"11.727.488.000,00",Tidak,-,Tidak,Tidak,Tidak,Tidak,Tidak
4,Kab. Aceh Selatan,-,WTP,Tepat Waktu,Menggunakan,Menggunakan,Memenuhi Kriteria Utama,-,-,Tidak,Tidak,Tidak,Tidak,"250.000.000,00",Tidak,Tidak,Tidak,-,"10.209.297.000,00",Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,-,Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,Tidak
5,Kab. Aceh Singkil,-,WTP,Tidak Tepat Waktu,Menggunakan,Menggunakan,Tidak Memenuhi Kriteria Utama,-,-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,-,Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,Tidak
6,Kab. Aceh Tengah,-,WTP,Tepat Waktu,Menggunakan,Menggunakan,Memenuhi Kriteria Utama,-,-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,-,"10.809.843.000,00",Tidak,Tidak,-,Tidak,"9.384.370.000,00","10.390.635.000,00",-,Tidak,Tidak,"11.744.290.000,00",Tidak,-,Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,Tidak
7,Kab. Aceh Tenggara,-,WTP,Tepat Waktu,Menggunakan,Menggunakan,Memenuhi Kriteria Utama,-,-,Tidak,Tidak,Tidak,Tidak,"250.000.000,00",Tidak,Tidak,-,"10.209.297.000,00","10.911.186.000,00",Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,-,Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,Tidak
8,Kab. Aceh Timur,-,WTP,Tepat Waktu,Menggunakan,Menggunakan,Memenuhi Kriteria Utama,-,-,Tidak,Tidak,"11.911.705.000,00",Tidak,Tidak,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,-,Tidak,Tidak,"9.779.421.000,00",Tidak,-,Tidak,Tidak,Tidak,-,Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,Tidak
9,Kab. Aceh Utara,-,WTP,Tepat Waktu,Menggunakan,Menggunakan,Memenuhi Kriteria Utama,-,-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,"7.938.687.000,00",Tidak,-,Tidak,Tidak,Tidak,-,"9.556.980.000,00",Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,-,Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,Tidak
10,Kab. Bireuen,-,WTP,Tepat Waktu,Menggunakan,Menggunakan,Memenuhi Kriteria Utama,-,-,Tidak,Tidak,Tidak,"250.000.000,00",Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,-,Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
11,Kab. Pidie                                        ,-,WTP,Tidak Tepat Waktu,Menggunakan,Menggunakan,Tidak Memenuhi Kriteria Utama,-,-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,-,Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,Tidak
12,Kab. Simeulue,-,WTP,Tepat Waktu,Menggunakan,Menggunakan,Memenuhi Kriteria Utama,-,-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,"7.938.687.000,00",Tidak,-,Tidak,Tidak,Tidak,-,Tidak,Tidak,"10.390.635.000,00",Tidak,-,Tidak,Tidak,Tidak,-,Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,Tidak
13,Kota Banda Aceh,-,WTP,Tepat Waktu,Menggunakan,Menggunakan,Memenuhi Kriteria Utama,-,-,Tidak,Tidak,Tidak,"250.000.000,00",Tidak,Tidak,Tidak,Tidak,-,"10.209.297.000,00",Tidak,Tidak,-,Tidak,Tidak,"12.224.277.000,00",Tidak,-,"9.966.486.000,00",Tidak,Tidak,-,Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,Tidak
