tahun,kdpemda,nmpemda,kdprov,nmprov,wilayah,disclaimer,special_row,1_a,1_r,1_p,11_a,11_r,11_p,11_611111_a,11_611111_r,11_611111_p,11_611112_a,11_611112_r,11_611112_p,11_611211_a,11_611211_r,11_611211_p,11_611212_a,11_611212_r,11_611212_p,11_611213_a,11_611213_r,11_611213_p,11_611214_a,11_611214_r,11_611214_p,11_611215_a,11_611215_r,11_611215_p,11_612111_a,11_612111_r,11_612111_p,11_612112_a,11_612112_r,11_612112_p,11_612113_a,11_612113_r,11_612113_p,11_612211_a,11_612211_r,11_612211_p,11_612212_a,11_612212_r,11_612212_p,11_612213_a,11_612213_r,11_612213_p,11_612311_a,11_612311_r,11_612311_p,11_612312_a,11_612312_r,11_612312_p,11_612411_a,11_612411_r,11_612411_p,11_612412_a,11_612412_r,11_612412_p,11_612413_a,11_612413_r,11_612413_p,11_612511_a,11_612511_r,11_612511_p,11_612512_a,11_612512_r,11_612512_p,11_612513_a,11_612513_r,11_612513_p,11_612611_a,11_612611_r,11_612611_p,11_613111_a,11_613111_r,11_613111_p,12_a,12_r,12_p,12_621111_a,12_621111_r,12_621111_p,13_a,13_r,13_p,13_631111_a,13_631111_r,13_631111_p,13_631211_a,13_631211_r,13_631211_p,13_631212_a,13_631212_r,13_631212_p,13_631311_a,13_631311_r,13_631311_p,13_631411_a,13_631411_r,13_631411_p,14_a,14_r,14_p,14_654111_a,14_654111_r,14_654111_p,14_654112_a,14_654112_r,14_654112_p,14_654211_a,14_654211_r,14_654211_p,14_654311_a,14_654311_r,14_654311_p,14_654711_a,14_654711_r,14_654711_p,14_654712_a,14_654712_r,14_654712_p,14_654721_a,14_654721_r,14_654721_p,14_654811_a,14_654811_r,14_654811_p,14_654814_a,14_654814_r,14_654814_p,14_654821_a,14_654821_r,14_654821_p,14_654911_a,14_654911_r,14_654911_p,14_654912_a,14_654912_r,14_654912_p,14_654921_a,14_654921_r,14_654921_p,14_655211_a,14_655211_r,14_655211_p,14_655311_a,14_655311_r,14_655311_p,14_655411_a,14_655411_r,14_655411_p,15_a,15_r,15_p,15_643111_a,15_643111_r,15_643111_p,16_a,16_r,16_p,16_641111_a,16_641111_r,16_641111_p,16_641211_a,16_641211_r,16_641211_p,16_641212_a,16_641212_r,16_641212_p,16_641311_a,16_641311_r,16_641311_p,16_641312_a,16_641312_r,16_641312_p,17_a,17_r,17_p,17_642111_a,17_642111_r,17_642111_p,2_a,2_r,2_p,21_a,21_r,21_p,21_662111_a,21_662111_r,21_662111_p
2018,--,Nasional,--,Semua Provinsi,Nasional,Data bulan desember,"{'text': 'Transfer ke daerah dan Dana Desa', 'total': {'anggaran': 763712259647840, 'realisasi': 757533338915843, 'persentase': '99,19 %'}}",703712259647840.00,697657198541618.00,99.14%,60000000000000.00,59876140374225.00,1.00,32986586000000.00,27458081283272.00,83.24%,4441882000000.00,2533606329484.00,57.04%,2857407829000.00,2737579489820.00,95.81%,11211563981000.00,10840669654158.00,96.69%,86252212000.00,84199185177.00,97.62%,398764072000.00,390261862177.00,97.87%,1736910100000.00,1650781100705.00,95.04%,8581982674000.00,12376493484658.00,144.21%,282732216000.00,407714843494.00,144.21%,370605160000.00,481008154249.00,129.79%,5966265026000.00,8745074752035.00,146.58%,96882460000.00,124683590580.00,128.70%,270583164000.00,340653879134.00,125.90%,615858746000.00,574574040835.00,93.30%,13670958915000.00,19233330257405.00,140.69%,545092142000.00,814945712335.00,149.51%,14680315000.00,17093550748.00,116.44%,703068000.00,897327311.00,127.63%,164730247000.00,165979915021.00,100.76%,736821430000.00,706696713825.00,95.91%,743479609000.00,741420178157.00,99.72%,480000648000.00,357622699445.00,74.50%,2964600000000.00,2922191165245.00,98.57%,401489579649000.00,401489579649000.00,100.00%,401489579649000.00,401489579649000.00,100.00%,62436262908000.00,58212071587909.00,93.23%,31350835954000.00,29459738989382.00,93.97%,0.00,None,-,24463658880000.00,22492927163424.00,91.94%,6621768074000.00,6259405435103.00,94.53%,,,,121001491890840.00,115300279949439.00,95.29%,56861747531798.00,55016720212332.00,96.76%,1922303294676.00,1727102404861.00,89.85%,879468864366.00,588007130574.00,66.86%,46311243600000.00,44367351931006.00,95.80%,8551232700000.00,7454358890915.00,87.17%,1808787300000.00,1753419417979.00,96.94%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8500000000000.00,8240125000000.00,96.94%,8500000000000.00,8240125000000.00,96.94%,20059583186000.00,20059583186000.00,100.00%,8029791593000.00,8029791593000.00,100.00%,5620854115000.00,5620854115000.00,100.00%,2400000000000.00,2400000000000.00,100.00%,2408937478000.00,2408937478000.00,100.00%,1600000000000.00,1600000000000.00,100.00%,1000000000000.00,650000000000.00,65.00%,1000000000000.00,650000000000.00,65.00%,60000000000000.00,59876140374225.00,99.79%,60000000000000.00,59876140374225.00,99.79%,60000000000000.00,59876140374225.00,99.79%
2018,0,Prov. Sulawesi Barat,33,Prov. Sulawesi Barat,se-Prov. Sulawesi Barat,Data bulan desember,"{'text': 'Transfer ke daerah dan Dana Desa', 'total': {'anggaran': 1536646248500, 'realisasi': 1515760142209, 'persentase': '98,64 %'}}",1536646248500.00,1515760142209.00,98.64%,23158213000.00,18969754669.00,0.82,16468915000.00,11564062894.00,70.22%,316646000.00,499839944.00,157.85%,6006410000.00,6223215988.00,103.61%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025033063000.00,1025033063000.00,100.00%,1025033063000.00,1025033063000.00,100.00%,117525934000.00,110699226616.00,94.19%,22759924000.00,20363005650.00,89.47%,,,,,,,,,,,,,352679038500.00,342808097924.00,97.20%,56184140000.00,56184140000.00,100.00%,774132000.00,774132000.00,100.00%,1514287500.00,1514287500.00,100.00%,287877800000.00,278061318977.00,96.59%,1662918000.00,1662918000.00,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18250000000.00,18250000000.00,100.00%,18250000000.00,18250000000.00,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,23158213000.00,18969754669.00,81.91%,,,
2018,2,Kab. Mamuju,33,Prov. Sulawesi Barat,se-Kab. Mamuju,Data bulan desember,"{'text': 'Transfer ke daerah dan Dana Desa', 'total': {'anggaran': 868666071000, 'realisasi': 932000635274, 'persentase': '107,29 %'}}",868666071000.00,861685904274.00,99.20%,0.00,70314731000.00,-,7513605000.00,5540449446.00,73.74%,148544000.00,238699902.00,160.69%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627775288000.00,627775288000.00,100.00%,627775288000.00,627775288000.00,100.00%,139194749000.00,138960418491.00,99.83%,129822330000.00,129606924241.00,99.83%,,,,,,,,,,,,,84673397000.00,80295139551.00,94.83%,52309916000.00,52207380860.00,99.80%,3471916000.00,3471916000.00,100.00%,1716000000.00,514800000.00,30.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,70314731000.00,-,0.00,70314731000.00,-,,70314731000.00,-
2018,1,Kab. Majene,33,Prov. Sulawesi Barat,se-Kab. Majene,Data bulan desember,"{'text': 'Transfer ke daerah dan Dana Desa', 'total': {'anggaran': 706415574000, 'realisasi': 756462831124, 'persentase': '107,08 %'}}",706415574000.00,703078389124.00,99.53%,0.00,53384442000.00,-,3547952000.00,2506205686.00,70.64%,47047000.00,85721397.00,182.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512162492000.00,512162492000.00,100.00%,512162492000.00,512162492000.00,100.00%,69965772000.00,69125397785.00,98.80%,58293737000.00,57607006785.00,98.82%,,,,,,,,,,,,,79594664000.00,78710529947.00,98.89%,57744887000.00,57744887000.00,100.00%,3014374000.00,3014374000.00,100.00%,2007000000.00,1306312500.00,65.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34250000000.00,34250000000.00,100.00%,34250000000.00,34250000000.00,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,0.00,53384442000.00,-,0.00,53384442000.00,-,,53384442000.00,-
2018,3,Kab. Polewali Mandar,33,Prov. Sulawesi Barat,se-Kab. Polewali Mandar,Data bulan desember,"{'text': 'Transfer ke daerah dan Dana Desa', 'total': {'anggaran': 1075432012000, 'realisasi': 1196476652600, 'persentase': '111,26 %'}}",1075432012000.00,1066406559600.00,99.16%,0.00,130070093000.00,-,5540181000.00,3745204181.00,67.60%,188624000.00,201980050.00,107.08%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713339396000.00,713339396000.00,100.00%,713339396000.00,713339396000.00,100.00%,174468967000.00,172538235744.00,98.89%,96187139000.00,94823562663.00,98.58%,,,,,,,,,,,,,131292146000.00,126631067770.00,96.45%,94492931000.00,94492931000.00,100.00%,498788000.00,498788000.00,100.00%,2883000000.00,1728750000.00,59.96%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43500000000.00,43500000000.00,100.00%,43500000000.00,43500000000.00,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,0.00,130070093000.00,-,0.00,130070093000.00,-,,130070093000.00,-
2018,4,Kab. Mamasa,33,Prov. Sulawesi Barat,se-Kab. Mamasa,Data bulan desember,"{'text': 'Transfer ke daerah dan Dana Desa', 'total': {'anggaran': 757632268000, 'realisasi': 878339313215, 'persentase': '115,93 %'}}",757632268000.00,753892542215.00,99.51%,0.00,124446771000.00,-,2407727000.00,1919479638.00,79.72%,29684000.00,63079649.00,212.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515625843000.00,515625843000.00,100.00%,515625843000.00,515625843000.00,100.00%,124950266000.00,122195281414.00,97.80%,75928718000.00,74147187464.00,97.65%,,,,,,,,,,,,,65601678000.00,64247632242.00,97.94%,29987820000.00,29655305906.00,98.89%,9801936000.00,9801936000.00,100.00%,2208000000.00,1214400000.00,55.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42000000000.00,42000000000.00,100.00%,42000000000.00,42000000000.00,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,0.00,124446771000.00,-,0.00,124446771000.00,-,,124446771000.00,-
2018,5,Kab. Mamuju Utara,33,Prov. Sulawesi Barat,se-Kab. Mamuju Utara,Data bulan desember,"{'text': 'Transfer ke daerah dan Dana Desa', 'total': {'anggaran': 689970781000, 'realisasi': 732490516665, 'persentase': '106,16 %'}}",689970781000.00,684054274665.00,99.14%,0.00,48436242000.00,-,3554155000.00,2185571933.00,61.49%,31175000.00,84297971.00,270.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483136786000.00,483136786000.00,100.00%,483136786000.00,483136786000.00,100.00%,112206064000.00,111329702246.00,99.22%,60276449000.00,59658646047.00,98.98%,,,,,,,,,,,,,40690678000.00,37011781279.00,90.96%,19718012000.00,19132776710.00,97.03%,1315150000.00,1315150000.00,100.00%,1599000000.00,1325595500.00,82.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36000000000.00,36000000000.00,100.00%,36000000000.00,36000000000.00,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,0.00,48436242000.00,-,0.00,48436242000.00,-,,48436242000.00,-
2018,6,Kab. Mamuju Tengah,33,Prov. Sulawesi Barat,se-Kab. Mamuju Tengah,Data bulan desember,"{'text': 'Transfer ke daerah dan Dana Desa', 'total': {'anggaran': 515658992000, 'realisasi': 555374647708, 'persentase': '107,70 %'}}",515658992000.00,510148647708.00,98.93%,0.00,45226000000.00,-,2139753000.00,1449183457.00,67.73%,29895000.00,75980946.00,254.16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347815396000.00,347815396000.00,100.00%,347815396000.00,347815396000.00,100.00%,103275842000.00,101780674385.00,98.55%,43530162000.00,42539268535.00,97.72%,,,,,,,,,,,,,38534849000.00,34558558891.00,89.68%,19533049000.00,16866414079.00,86.35%,2671860000.00,2671860000.00,100.00%,666000000.00,366300000.00,55.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16500000000.00,16500000000.00,100.00%,16500000000.00,16500000000.00,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,0.00,45226000000.00,-,0.00,45226000000.00,-,,45226000000.00,-
2018,--,Semua pemda,33,Prov. Sulawesi Barat,se-Prov. Sulawesi Barat,Data bulan desember,"{'text': 'Transfer ke daerah dan Dana Desa', 'total': {'anggaran': 6150421946500, 'realisasi': 6566904738795, 'persentase': '106,77 %'}}",6150421946500.00,6095026459795.00,99.10%,0.00,471878279000.00,-,41172288000.00,28910157235.00,70.22%,791615000.00,1249599859.00,157.85%,6006410000.00,6223215988.00,103.61%,24025639000.00,24892863952.00,103.61%,87273000.00,91292115.00,104.61%,990805000.00,1050002674.00,105.97%,20474382000.00,19411547820.00,94.81%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4224888264000.00,4224888264000.00,100.00%,4224888264000.00,4224888264000.00,100.00%,841587594000.00,826628936681.00,98.22%,486798459000.00,478745601385.00,98.35%,,,,,,,,,,,,,793066450500.00,764262807604.00,96.37%,329970755000.00,326283835555.00,98.88%,21548156000.00,21548156000.00,100.00%,12593287500.00,7970445500.00,63.29%,287877800000.00,278061318977.00,96.59%,91519094000.00,79418576817.00,86.78%,17670960000.00,17554513150.00,99.34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190500000000.00,190500000000.00,100.00%,190500000000.00,190500000000.00,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,0.00,471878279000.00,-,0.00,471878279000.00,-,,471878279000.00,-
2018,9,Kab. Pulau Morotai,27,Prov. Malut,se-Kab. Pulau Morotai,Data bulan desember,"{'text': 'Transfer ke daerah dan Dana Desa', 'total': {'anggaran': 555000228000, 'realisasi': 620391034669, 'persentase': '111,78 %'}}",555000228000.00,554480282080.00,99.91%,0.00,65910752589.00,-,1779877000.00,1800913747.00,101.18%,78227000.00,98855758.00,126.37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391524047000.00,391524047000.00,100.00%,391524047000.00,391524047000.00,100.00%,121926103000.00,121675379603.00,99.79%,54940292000.00,54888240196.00,99.91%,,,,,,,,,,,,,22970650000.00,21175837939.00,92.19%,5945354000.00,5099560475.00,85.77%,1997226000.00,1788094800.00,89.53%,1281000000.00,934050000.00,72.92%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,65910752589.00,-,0.00,65910752589.00,-,,65910752589.00,-
